camera/right | seq = 80 | latency = 12095 µs
camera/left | seq = 82 | latency = 16445 µs
camera/rear | seq = 80 | latency = 19138 µs
camera/front | seq = 81 | latency = 19556 µs
radar/front | seq = 37 | latency = 17254 µs
camera/right | seq = 81 | latency = 21593 µs
perception/objects | seq = 39 | latency = 258 µs
camera/left | seq = 83 | latency = 23005 µs
camera/rear | seq = 81 | latency = 28365 µs
lidar/aux | seq = 32 | latency = 52775 µs
camera/front | seq = 82 | latency = 26653 µs
camera/left | seq = 84 | latency = 18019 µs
radar/rear | seq = 37 | latency = 18831 µs
camera/rear | seq = 82 | latency = 20517 µs
camera/front | seq = 83 | latency = 22602 µs
camera/right | seq = 83 | latency = 24858 µs
camera/left | seq = 85 | latency = 24474 µs
radar/front | seq = 38 | latency = 24409 µs
perception/objects | seq = 40 | latency = 262 µs
camera/rear | seq = 83 | latency = 28677 µs
camera/front | seq = 84 | latency = 24600 µs
camera/right | seq = 84 | latency = 28738 µs
lidar/aux | seq = 33 | latency = 53199 µs
camera/left | seq = 86 | latency = 29607 µs
camera/rear | seq = 84 | latency = 20540 µs
camera/right | seq = 85 | latency = 15670 µs
camera/left | seq = 87 | latency = 19665 µs
radar/front | seq = 39 | latency = 17820 µs
camera/rear | seq = 85 | latency = 22736 µs
perception/objects | seq = 41 | latency = 110 µs
camera/left | seq = 88 | latency = 15770 µs
camera/right | seq = 86 | latency = 21882 µs
camera/rear | seq = 86 | latency = 21001 µs
camera/front | seq = 87 | latency = 21556 µs
radar/rear | seq = 39 | latency = 20802 µs
camera/right | seq = 87 | latency = 25579 µs
lidar/aux | seq = 34 | latency = 52440 µs
camera/left | seq = 89 | latency = 27413 µs
camera/rear | seq = 87 | latency = 25754 µs
camera/front | seq = 88 | latency = 27467 µs
radar/front | seq = 40 | latency = 28108 µs
perception/objects | seq = 42 | latency = 116 µs
camera/right | seq = 88 | latency = 27809 µs
camera/left | seq = 90 | latency = 26057 µs
camera/front | seq = 89 | latency = 23130 µs
camera/rear | seq = 88 | latency = 25268 µs
camera/right | seq = 89 | latency = 27898 µs
radar/rear | seq = 40 | latency = 26735 µs
camera/front | seq = 90 | latency = 26877 µs
lidar/aux | seq = 35 | latency = 51665 µs
camera/left | seq = 91 | latency = 29772 µs
camera/rear | seq = 89 | latency = 30726 µs
radar/front | seq = 41 | latency = 18066 µs
perception/objects | seq = 43 | latency = 135 µs
camera/right | seq = 90 | latency = 24042 µs
camera/front | seq = 91 | latency = 23634 µs
camera/left | seq = 92 | latency = 27664 µs
camera/rear | seq = 90 | latency = 23324 µs
camera/front | seq = 92 | latency = 21834 µs
camera/right | seq = 91 | latency = 26956 µs
radar/rear | seq = 41 | latency = 26641 µs
camera/left | seq = 93 | latency = 29244 µs
lidar/aux | seq = 36 | latency = 52781 µs
camera/rear | seq = 91 | latency = 28177 µs
camera/front | seq = 93 | latency = 23329 µs
perception/objects | seq = 44 | latency = 129 µs
radar/front | seq = 42 | latency = 22852 µs
camera/right | seq = 92 | latency = 23938 µs
camera/rear | seq = 92 | latency = 24947 µs
camera/left | seq = 94 | latency = 31286 µs
camera/front | seq = 94 | latency = 21668 µs
camera/rear | seq = 93 | latency = 21656 µs
camera/right | seq = 93 | latency = 27864 µs
radar/rear | seq = 42 | latency = 29096 µs
camera/left | seq = 95 | latency = 28276 µs
lidar/aux | seq = 37 | latency = 52852 µs
perception/objects | seq = 45 | latency = 270 µs
camera/front | seq = 95 | latency = 27142 µs
camera/rear | seq = 94 | latency = 27552 µs
radar/front | seq = 43 | latency = 25548 µs
camera/right | seq = 94 | latency = 23159 µs
camera/front | seq = 96 | latency = 19901 µs
camera/rear | seq = 95 | latency = 19033 µs
camera/right | seq = 95 | latency = 13325 µs
camera/front | seq = 97 | latency = 18289 µs
radar/rear | seq = 43 | latency = 20047 µs
camera/left | seq = 97 | latency = 24290 µs
perception/objects | seq = 46 | latency = 135 µs
camera/rear | seq = 96 | latency = 24627 µs
camera/front | seq = 98 | latency = 22331 µs
lidar/aux | seq = 38 | latency = 53354 µs
camera/right | seq = 96 | latency = 27934 µs
radar/front | seq = 44 | latency = 28344 µs
camera/left | seq = 98 | latency = 30181 µs
camera/rear | seq = 97 | latency = 30846 µs
camera/right | seq = 97 | latency = 19400 µs
radar/rear | seq = 44 | latency = 15670 µs
camera/left | seq = 99 | latency = 20458 µs
camera/rear | seq = 98 | latency = 23609 µs
perception/objects | seq = 47 | latency = 271 µs
camera/front | seq = 100 | latency = 23887 µs
camera/right | seq = 98 | latency = 27030 µs
camera/left | seq = 100 | latency = 21299 µs
radar/front | seq = 45 | latency = 21834 µs
lidar/aux | seq = 39 | latency = 52748 µs
camera/rear | seq = 99 | latency = 26981 µs
camera/front | seq = 101 | latency = 30292 µs
camera/left | seq = 101 | latency = 19720 µs
radar/rear | seq = 45 | latency = 15879 µs
camera/rear | seq = 100 | latency = 19212 µs
perception/objects | seq = 48 | latency = 116 µs
camera/front | seq = 102 | latency = 21487 µs
camera/right | seq = 100 | latency = 24045 µs
camera/left | seq = 102 | latency = 24890 µs
camera/rear | seq = 101 | latency = 24359 µs
camera/front | seq = 103 | latency = 27398 µs
radar/front | seq = 46 | latency = 27784 µs
lidar/aux | seq = 40 | latency = 52515 µs
camera/right | seq = 101 | latency = 31315 µs
camera/left | seq = 103 | latency = 30881 µs
camera/front | seq = 104 | latency = 15415 µs
perception/objects | seq = 49 | latency = 132 µs
camera/left | seq = 104 | latency = 13482 µs
camera/right | seq = 102 | latency = 17514 µs
camera/rear | seq = 103 | latency = 18285 µs
camera/front | seq = 105 | latency = 22639 µs
camera/right | seq = 103 | latency = 16563 µs
radar/front | seq = 47 | latency = 18535 µs
camera/left | seq = 105 | latency = 24172 µs
camera/front | seq = 106 | latency = 25765 µs
camera/right | seq = 104 | latency = 19920 µs
lidar/aux | seq = 41 | latency = 54672 µs
perception/objects | seq = 50 | latency = 121 µs
radar/rear | seq = 47 | latency = 22003 µs
camera/left | seq = 106 | latency = 20738 µs
camera/front | seq = 107 | latency = 22742 µs
camera/rear | seq = 105 | latency = 26096 µs
camera/right | seq = 105 | latency = 24169 µs
camera/left | seq = 107 | latency = 24892 µs
radar/front | seq = 48 | latency = 21066 µs
camera/rear | seq = 106 | latency = 24249 µs
camera/front | seq = 108 | latency = 29748 µs
camera/right | seq = 106 | latency = 25717 µs
perception/objects | seq = 51 | latency = 113 µs
camera/left | seq = 108 | latency = 30679 µs
lidar/aux | seq = 42 | latency = 52695 µs
radar/rear | seq = 48 | latency = 28053 µs
camera/front | seq = 109 | latency = 18194 µs
camera/left | seq = 109 | latency = 16384 µs
camera/right | seq = 107 | latency = 19565 µs
camera/rear | seq = 108 | latency = 24304 µs
radar/front | seq = 49 | latency = 23184 µs
camera/front | seq = 110 | latency = 22050 µs
camera/left | seq = 110 | latency = 26871 µs
camera/right | seq = 108 | latency = 27550 µs
perception/objects | seq = 52 | latency = 134 µs
radar/rear | seq = 49 | latency = 21868 µs
camera/rear | seq = 109 | latency = 25369 µs
lidar/aux | seq = 43 | latency = 53212 µs
camera/front | seq = 111 | latency = 27248 µs
camera/right | seq = 109 | latency = 23204 µs
camera/left | seq = 111 | latency = 26628 µs
camera/rear | seq = 110 | latency = 25849 µs
