Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/merge_from_private,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/run_out,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/stop_line,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/walkway,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/run_out,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/run_out/accel_reason,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/run_out/debug_values,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/run_out/filtered_pointcloud,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/run_out/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/stop_line,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/stop_line/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/walkway,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/walkway/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/output/stop_reason,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/merge_from_private,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/no_drivable_lane,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/occlusion_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/run_out,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/speed_bump,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/stop_line,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/virtual_traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/walkway,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/debug/traffic_signal,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/elastic_band_smoother/debug/calculation_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/elastic_band_smoother/debug/eb_fixed_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/elastic_band_smoother/debug/eb_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/elastic_band_smoother/debug/extended_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/elastic_band_smoother/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/dynamic_obstacle_stop/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/dynamic_obstacle_stop/processing_time_ms_diag,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
