camera/right | seq = 72 | latency = 27969 µs
perception/objects | seq = 36 | latency = 1169 µs
camera/left | seq = 70 | latency = 27603 µs
camera/front | seq = 74 | latency = 24651 µs
lidar/main | seq = 33 | latency = 44260 µs
radar/rear | seq = 33 | latency = 27287 µs
camera/right | seq = 73 | latency = 22823 µs
camera/left | seq = 71 | latency = 24895 µs
camera/rear | seq = 74 | latency = 27596 µs
camera/front | seq = 75 | latency = 30928 µs
radar/front | seq = 34 | latency = 24220 µs
camera/rear | seq = 75 | latency = 20859 µs
perception/objects | seq = 37 | latency = 1044 µs
camera/left | seq = 72 | latency = 23685 µs
radar/rear | seq = 34 | latency = 23230 µs
lidar/main | seq = 34 | latency = 44792 µs
camera/right | seq = 75 | latency = 27212 µs
camera/front | seq = 76 | latency = 31013 µs
camera/rear | seq = 76 | latency = 28451 µs
camera/left | seq = 73 | latency = 29470 µs
radar/front | seq = 35 | latency = 20196 µs
camera/right | seq = 76 | latency = 26766 µs
camera/front | seq = 77 | latency = 31265 µs
perception/objects | seq = 38 | latency = 856 µs
camera/left | seq = 74 | latency = 22826 µs
radar/rear | seq = 35 | latency = 24631 µs
lidar/main | seq = 35 | latency = 44991 µs
camera/front | seq = 78 | latency = 26847 µs
camera/right | seq = 77 | latency = 26060 µs
camera/rear | seq = 78 | latency = 29424 µs
radar/front | seq = 36 | latency = 12631 µs
camera/rear | seq = 79 | latency = 9104 µs
camera/right | seq = 78 | latency = 14920 µs
camera/left | seq = 76 | latency = 21351 µs
perception/objects | seq = 39 | latency = 505 µs
camera/front | seq = 80 | latency = 25298 µs
radar/rear | seq = 36 | latency = 21118 µs
camera/rear | seq = 80 | latency = 21793 µs
lidar/main | seq = 36 | latency = 43610 µs
camera/left | seq = 77 | latency = 26348 µs
camera/right | seq = 79 | latency = 28977 µs
camera/front | seq = 81 | latency = 29178 µs
camera/left | seq = 78 | latency = 23617 µs
camera/rear | seq = 81 | latency = 29382 µs
radar/front | seq = 37 | latency = 30803 µs
camera/right | seq = 80 | latency = 27219 µs
perception/objects | seq = 40 | latency = 529 µs
camera/front | seq = 82 | latency = 22656 µs
radar/rear | seq = 37 | latency = 26173 µs
camera/left | seq = 79 | latency = 26391 µs
lidar/main | seq = 37 | latency = 44552 µs
camera/rear | seq = 82 | latency = 31492 µs
camera/right | seq = 81 | latency = 32316 µs
camera/front | seq = 83 | latency = 25830 µs
camera/rear | seq = 83 | latency = 15776 µs
radar/front | seq = 38 | latency = 17878 µs
radar/rear | seq = 38 | latency = 12567 µs
perception/objects | seq = 41 | latency = 302 µs
camera/right | seq = 82 | latency = 19120 µs
camera/front | seq = 84 | latency = 24544 µs
camera/left | seq = 81 | latency = 26494 µs
camera/front | seq = 85 | latency = 21574 µs
lidar/main | seq = 38 | latency = 44216 µs
camera/right | seq = 83 | latency = 23264 µs
camera/left | seq = 82 | latency = 20894 µs
camera/rear | seq = 85 | latency = 22585 µs
camera/front | seq = 86 | latency = 23352 µs
perception/objects | seq = 42 | latency = 1003 µs
camera/right | seq = 84 | latency = 27705 µs
radar/front | seq = 39 | latency = 31651 µs
camera/left | seq = 83 | latency = 29094 µs
radar/rear | seq = 39 | latency = 31993 µs
camera/front | seq = 87 | latency = 29243 µs
lidar/main | seq = 39 | latency = 44055 µs
camera/rear | seq = 86 | latency = 31969 µs
camera/rear | seq = 87 | latency = 13283 µs
camera/front | seq = 88 | latency = 17260 µs
camera/left | seq = 85 | latency = 15363 µs
perception/objects | seq = 43 | latency = 679 µs
camera/right | seq = 86 | latency = 22111 µs
radar/front | seq = 40 | latency = 24947 µs
radar/rear | seq = 40 | latency = 18250 µs
camera/rear | seq = 88 | latency = 25387 µs
camera/front | seq = 89 | latency = 29855 µs
lidar/main | seq = 40 | latency = 44219 µs
camera/right | seq = 87 | latency = 28930 µs
camera/front | seq = 90 | latency = 9965 µs
camera/right | seq = 88 | latency = 14697 µs
perception/objects | seq = 44 | latency = 232 µs
camera/left | seq = 87 | latency = 18298 µs
radar/front | seq = 41 | latency = 19512 µs
camera/rear | seq = 90 | latency = 23801 µs
radar/rear | seq = 41 | latency = 23155 µs
camera/front | seq = 91 | latency = 24616 µs
lidar/main | seq = 41 | latency = 44097 µs
camera/right | seq = 89 | latency = 26081 µs
camera/left | seq = 88 | latency = 27059 µs
camera/rear | seq = 91 | latency = 29148 µs
camera/left | seq = 89 | latency = 7434 µs
camera/rear | seq = 92 | latency = 13423 µs
perception/objects | seq = 45 | latency = 232 µs
radar/front | seq = 42 | latency = 16399 µs
camera/front | seq = 93 | latency = 21147 µs
radar/rear | seq = 42 | latency = 23977 µs
camera/right | seq = 91 | latency = 29144 µs
camera/left | seq = 90 | latency = 23628 µs
lidar/main | seq = 42 | latency = 45201 µs
camera/rear | seq = 93 | latency = 29288 µs
camera/front | seq = 94 | latency = 29673 µs
camera/right | seq = 92 | latency = 28235 µs
camera/left | seq = 91 | latency = 33288 µs
perception/objects | seq = 46 | latency = 1180 µs
camera/rear | seq = 94 | latency = 28758 µs
camera/front | seq = 95 | latency = 28948 µs
radar/front | seq = 43 | latency = 29619 µs
radar/rear | seq = 43 | latency = 27800 µs
camera/right | seq = 93 | latency = 24913 µs
camera/left | seq = 92 | latency = 27897 µs
camera/left | seq = 93 | latency = 8540 µs
camera/right | seq = 94 | latency = 14331 µs
camera/front | seq = 97 | latency = 21183 µs
perception/objects | seq = 47 | latency = 238 µs
camera/rear | seq = 96 | latency = 27260 µs
lidar/aux | seq = 44 | latency = 39021 µs
camera/right | seq = 95 | latency = 18903 µs
camera/left | seq = 94 | latency = 25290 µs
camera/front | seq = 98 | latency = 32202 µs
camera/rear | seq = 97 | latency = 38936 µs
radar/rear | seq = 44 | latency = 40135 µs
radar/front | seq = 44 | latency = 40236 µs
camera/right | seq = 96 | latency = 29597 µs
camera/left | seq = 95 | latency = 29558 µs
perception/objects | seq = 48 | latency = 489 µs
camera/front | seq = 99 | latency = 23938 µs
camera/right | seq = 97 | latency = 13342 µs
camera/front | seq = 100 | latency = 10757 µs
camera/left | seq = 96 | latency = 17788 µs
camera/rear | seq = 99 | latency = 20750 µs
camera/right | seq = 98 | latency = 22356 µs
lidar/main | seq = 45 | latency = 41703 µs
radar/rear | seq = 45 | latency = 26177 µs
radar/front | seq = 45 | latency = 28872 µs
perception/objects | seq = 49 | latency = 632 µs
camera/front | seq = 101 | latency = 29081 µs
camera/front | seq = 102 | latency = 18116 µs
camera/rear | seq = 101 | latency = 22560 µs
camera/left | seq = 98 | latency = 23852 µs
camera/right | seq = 100 | latency = 22501 µs
radar/front | seq = 46 | latency = 14047 µs
radar/rear | seq = 46 | latency = 15345 µs
camera/rear | seq = 102 | latency = 17692 µs
camera/left | seq = 99 | latency = 22876 µs
perception/objects | seq = 50 | latency = 290 µs
camera/right | seq = 101 | latency = 23469 µs
camera/front | seq = 104 | latency = 21841 µs
camera/left | seq = 100 | latency = 20994 µs
camera/rear | seq = 103 | latency = 25602 µs
lidar/aux | seq = 47 | latency = 43129 µs
camera/right | seq = 102 | latency = 28886 µs
camera/front | seq = 105 | latency = 31176 µs
radar/front | seq = 47 | latency = 26497 µs
camera/rear | seq = 104 | latency = 32066 µs
perception/objects | seq = 51 | latency = 382 µs
camera/left | seq = 101 | latency = 38308 µs
camera/rear | seq = 105 | latency = 14793 µs
camera/left | seq = 102 | latency = 17658 µs
camera/right | seq = 104 | latency = 13256 µs
camera/front | seq = 107 | latency = 17656 µs
camera/rear | seq = 106 | latency = 15274 µs
radar/front | seq = 48 | latency = 18470 µs
camera/left | seq = 103 | latency = 21409 µs
camera/right | seq = 105 | latency = 22299 µs
perception/objects | seq = 52 | latency = 828 µs
camera/front | seq = 108 | latency = 26290 µs
radar/rear | seq = 48 | latency = 24426 µs
lidar/aux | seq = 49 | latency = 43907 µs
camera/rear | seq = 107 | latency = 28985 µs
camera/front | seq = 109 | latency = 23445 µs
camera/rear | seq = 108 | latency = 22746 µs
camera/right | seq = 107 | latency = 26091 µs
camera/left | seq = 105 | latency = 28316 µs
radar/front | seq = 49 | latency = 29706 µs
camera/front | seq = 110 | latency = 32641 µs
perception/objects | seq = 53 | latency = 446 µs
camera/rear | seq = 109 | latency = 24973 µs
camera/right | seq = 108 | latency = 30500 µs
camera/right | seq = 109 | latency = 11903 µs
camera/rear | seq = 110 | latency = 15614 µs
camera/left | seq = 107 | latency = 19752 µs
camera/front | seq = 112 | latency = 21799 µs
lidar/aux | seq = 51 | latency = 44457 µs
camera/right | seq = 110 | latency = 18558 µs
perception/objects | seq = 54 | latency = 1018 µs
radar/front | seq = 50 | latency = 22090 µs
camera/left | seq = 108 | latency = 26886 µs
camera/rear | seq = 111 | latency = 31403 µs
camera/front | seq = 113 | latency = 33807 µs
radar/rear | seq = 50 | latency = 33576 µs
camera/right | seq = 111 | latency = 30897 µs
camera/left | seq = 109 | latency = 30542 µs
camera/front | seq = 114 | latency = 24464 µs
camera/rear | seq = 112 | latency = 30510 µs
perception/objects | seq = 55 | latency = 687 µs
camera/left | seq = 110 | latency = 19911 µs
camera/front | seq = 115 | latency = 17645 µs
camera/rear | seq = 113 | latency = 21837 µs
camera/right | seq = 113 | latency = 28997 µs
lidar/main | seq = 50 | latency = 42789 µs
radar/rear | seq = 51 | latency = 24993 µs
camera/left | seq = 111 | latency = 31453 µs
camera/front | seq = 116 | latency = 30463 µs
perception/objects | seq = 56 | latency = 673 µs
camera/right | seq = 114 | latency = 33691 µs
camera/rear | seq = 114 | latency = 40649 µs
radar/front | seq = 52 | latency = 29879 µs
camera/left | seq = 112 | latency = 32048 µs
camera/front | seq = 117 | latency = 33223 µs
camera/right | seq = 115 | latency = 24669 µs
radar/rear | seq = 52 | latency = 22585 µs
camera/rear | seq = 115 | latency = 28891 µs
camera/front | seq = 118 | latency = 24547 µs
perception/objects | seq = 57 | latency = 873 µs
camera/left | seq = 113 | latency = 30005 µs
camera/right | seq = 116 | latency = 24415 µs
